NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,AVG,MIN,MAX,delay_0-0.1,delay_0.1-0.3,delay_0.3-1,delay_1-3,delay_3-10,delay_10-30,delay_30-100,gt100,IdLogNum,FailureDescription
X13146PAZ,97851,1/7/100,2019-03-25 00:00:00,24,Near End,MN0051-TN01.1,AMM 6PC,-,0,0,0,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97758,1/7/100 'Towards_GC0144-TN01'PacketLinks=1/2,2019-03-25 00:00:00,24,Near End,GS0104-TN01.1,AMM 6PD,-,1,0,100,86292,108,0,0,0,0,0,0,0,-
X13146PAZ,97843,1/7/100 'CW0078-TN01towardsCH9032'PacketLink,2019-03-25 00:00:00,24,Near End,CW0078-TN01.1,AMM 6PC,-,1,0,37,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97874,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,GE0010-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Retry Failure - Retry request expired
X13146PAZ,97859,1/7/100,2019-03-25 00:00:00,24,Near End,TG0074-MW01.1,AMM 6PC,-,1,0,66,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97860,1/7/100,2019-03-25 00:00:00,24,Near End,TG0082-MW03.1,AMM 6PC,-,1,0,100,85642,758,0,0,0,0,0,0,0,-
X13146PAZ,97766,1/7/100 'Towards-TM9001'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,TM0352-TN01.1,AMM 6PC,-,0,0,0,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97867,1/7/100 'CH9029-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,CS0078-TN01.1,AMM 6PC,-,1,0,43,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97873,1/7/101,2019-03-25 00:00:00,24,Near End,GN0068-TN01.1,AMM 6PC,-,0,0,100,86387,8,0,0,0,0,0,0,0,-
X13146PAZ,97873,1/7/100,2019-03-25 00:00:00,24,Near End,GN0068-TN01.1,AMM 6PC,-,1,0,21,86395,0,0,0,0,0,0,0,0,-
X13146PAZ,97900,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STT0396-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97899,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STT9399-2.1,MINI-LINK 6692,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97903,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STP0141-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97868,1/7/100 'CH9045-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,CC0286-TN01.1,AMM 6PC,-,1,0,40,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97863,1/7/100 'Towards_TM0344',2019-03-25 00:00:00,24,Near End,TM0321-TN01.1,AMM 6PC,-,0,0,0,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97864,1/7/100 'Towards_TM0352',2019-03-25 00:00:00,24,Near End,TM9001-TN01.1,AMM 6PC,-,0,0,0,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97912,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STJ9255-1.1,MINI-LINK 6692,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97884,1/7/100 'Towards_CC0434_TN01'PacketLinks=1/2,2019-03-25 00:00:00,24,Near End,CC0427-TN01.1,AMM 6PC,-,1,0,23,86399,0,0,0,0,0,0,0,0,-
X13146PAZ,97913,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STJ0222-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97877,1/7/100 'TJ9255_MW08-TJ0236_MW01',2019-03-25 00:00:00,24,Near End,TJ9255-MW08.1,AMM 6PC,-,0,0,0,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97907,1/7/100,2019-03-25 00:00:00,24,Near End,TO0141-MW01.1,AMM 6PC,-,1,0,28,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97883,1/7/100 'TJ0236_MW01-TJ9255_MW16'PacketLinks,2019-03-25 00:00:00,24,Near End,TJ0236-MW01.1,AMM 6PC,-,0,0,0,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97901,1/7/100 'JC0367-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JC0367-TN01.1,AMM 6PC,-,1,0,50,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97842,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,TM0344-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97908,1/7/102,2019-03-25 00:00:00,24,Near End,TO0149-MW01.1,AMM 6PC,-,1,0,10,86396,0,0,0,0,0,0,0,0,-
X13146PAZ,97908,1/7/100,2019-03-25 00:00:00,24,Near End,TO0149-MW01.1,AMM 6PC,-,1,0,14,86396,0,0,0,0,0,0,0,0,-
X13146PAZ,97905,1/7/100 'towardsCH9050-TN01'PacketLinks=1/2/,2019-03-25 00:00:00,24,Near End,CC0526-TN01.1,AMM 6PC,-,1,0,39,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97956,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SJE0331-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97949,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STT0350-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97930,1/7/100,2019-03-25 00:00:00,24,Near End,SW0719-TN01.1,AMM 6PC,-,1,0,100,86318,82,0,0,0,0,0,0,0,-
X13146PAZ,97931,1/7/100,2019-03-25 00:00:00,24,Near End,SS0218-TN01.1,AMM 6PC,-,0,0,0,86396,0,0,0,0,0,0,0,0,-
X13146PAZ,97969,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SCC0935-2.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97966,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STP0178-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97970,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SCC0400-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97928,1/7/100,2019-03-25 00:00:00,24,Near End,TM0038-MW03.1,AMM 6PC,-,1,0,100,86391,4,0,0,0,0,0,0,0,-
X13146PAZ,97927,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,TM0037-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97984,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STN0039-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97985,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STN9040-2.1,MINI-LINK 6692,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97988,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STP0145-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,98008,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SJC0611-2.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,98022,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SCC0892-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97976,1/7/100 'CC0906-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,CF0104-TN01.1,AMM 6PC,-,1,0,51,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,98010,1/7/101,2019-03-25 00:00:00,24,Near End,GC0187-TN01.1,AMM 6PC,-,1,0,20,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,98038,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SCH9023-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,98026,1/7/100,2019-03-25 00:00:00,24,Near End,GC0246-TN01.1,AMM 6PC,-,1,0,26,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,98023,1/7/101,2019-03-25 00:00:00,24,Near End,MS0041-TN01.1,AMM 6PC,-,1,0,100,86293,103,0,0,0,0,0,0,0,-
X13146PAZ,98039,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SCH9083-2.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,98029,1/7/100,2019-03-25 00:00:00,24,Near End,GC0234-TN01.1,AMM 6PC,-,1,0,15,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,98055,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STZ0036-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,98058,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STM0398-2.1,MINI-LINK 6692,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,98059,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SCC0273-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,98044,1/7/100 'JC0951-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JC0305-TN01.1,AMM 6PC,-,1,0,8,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,98061,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SCH9018-2.1,MINI-LINK 6692,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,98046,1/7/100,2019-03-25 00:00:00,24,Near End,SN0184-TN01.1,AMM 6PC,-,0,0,0,86400,0,0,0,0,0,0,0,0,-
